Total_iterations,Unnamed: 0.1,Intertwine_two,Invert_path_vertices,Insert_inside_vertex,Delete_inside_vertex,Replace_inside_vertex,Donate_between_routes,Trim_one_terminal_cb,Grow_one_terminal_cb
0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1,1.0,0.1248493394425353,0.1244830927835051,0.125253043146239,0.125253043146239,0.1244456357388316,0.1256163764795723,0.1248493394425353,0.1252501298205422
2,2.0,0.1241416660526295,0.1236932863781938,0.1249046660526295,0.1262773512378147,0.1240800549415184,0.1256246993859628,0.1250830870654791,0.1261951888857719
3,3.0,0.1231065208422447,0.1229688872380134,0.1241512507749047,0.1279266653371942,0.1233969487378676,0.1258312417210326,0.1247907489686157,0.1278277363801269
4,4.0,0.1222866555701858,0.121838440230694,0.1233351012035192,0.1299768636824754,0.1226187289393778,0.1256538365832835,0.1244372541892916,0.1298531196011725
5,5.0,0.1211573223339552,0.1210278881656607,0.1227089944677176,0.1326055509803287,0.1214698178573898,0.1250660153547704,0.1240942919609932,0.1318701188791842
6,6.0,0.119763950497959,0.1201940100217213,0.1220316846677343,0.1355929872822252,0.120300502635794,0.1237946547692492,0.1244477870966732,0.1338744230286437
7,7.0,0.1175499324839124,0.1194376458164923,0.1219227250589314,0.1388309698086607,0.1189043619351016,0.12218720277498,0.1249922935998558,0.1361748685220657
8,8.0,0.1150766766976996,0.1183703140113318,0.122296261138905,0.1415532641428229,0.1172400539044072,0.1202323481725208,0.1265069825754174,0.1387240993568951
9,9.0,0.1124838917846595,0.1171162195379271,0.1228550057538834,0.1451281534150465,0.1154721338743029,0.117845609901153,0.1282567745257292,0.1408422112072985
10,10.0,0.1100821998219091,0.1158365942054137,0.1230500783220064,0.1486540796511383,0.1133075292804437,0.1153456395046394,0.1301957977652437,0.1435280814492056
11,11.0,0.1076616766569365,0.1147943311904988,0.1229901910842955,0.1522608446675221,0.1110999073173441,0.1129899310083524,0.1322441889683083,0.1459589291067422
12,12.0,0.1053475783713301,0.1141937853342401,0.1229741289487542,0.1567582362972973,0.1085184667788312,0.1104752172477751,0.1338213438486773,0.1479112431730945
13,13.0,0.1030989585599531,0.1133237685046951,0.1228459885108689,0.1616469169947318,0.1058327698447795,0.1078243425488861,0.1351918678377758,0.1502353871983096
14,14.0,0.1007872007575403,0.1124603136396072,0.1227665839030359,0.1667867323709204,0.1031055435898916,0.1050894414876964,0.1368512356758722,0.1521529485754359
15,15.0,0.0984510527714288,0.1117027463149969,0.1222962099364972,0.1718509514109006,0.1003605289262497,0.1023757916542677,0.1388112100934962,0.1541515088921629
16,16.0,0.0961172731964401,0.1103318626635283,0.121937263990459,0.1775209325132174,0.0974224138307513,0.1000893656505607,0.140547772264387,0.1560331158906562
17,17.0,0.0936329018176045,0.109242253624191,0.1213062800153727,0.1832467335607021,0.0948717126890181,0.0979234180004125,0.1424867428947764,0.1572899573979226
18,18.0,0.0912525037892228,0.1079702631463699,0.1202229404339299,0.1890184628394699,0.0929447225696352,0.0957200156314545,0.1444180424316794,0.1584530491582383
19,19.0,0.0889091606520307,0.1070583238783482,0.11886008312014,0.1942588465299503,0.0910014375833021,0.094640358702401,0.145901469508393,0.1593703200254345
20,20.0,0.0867598409300914,0.1063387909210416,0.1173260896340801,0.1984904126418232,0.0895350717910122,0.0934562400737257,0.1475473911197152,0.1605461628885105
21,21.0,0.0849256691063679,0.1053736352460227,0.1148989755618142,0.2034190429178513,0.0882622509531806,0.0920861995529226,0.149129720213877,0.1619045064479636
22,22.0,0.0827895461645572,0.1043282143263521,0.1128513891524968,0.2082907004618809,0.0870734673623008,0.0907538907220889,0.150997515511117,0.1629152762992063
23,23.0,0.0807005524924809,0.1032002350233551,0.1111053204851807,0.2132190705385548,0.085897824216143,0.0892691621014779,0.153121325211113,0.1634865099316944
24,24.0,0.0784248843966038,0.1021085813649868,0.1092429165124493,0.2178047678121543,0.0849889197502222,0.0878195735879635,0.1551960247073178,0.1644143318683022
25,25.0,0.0762245785285679,0.1010766795968614,0.1071194045426677,0.22201832845339,0.0842872837801594,0.0863814042620117,0.1573339108296075,0.1655584100067342
26,26.0,0.0741247842301256,0.0999057849178319,0.1047002245986898,0.2255144298315892,0.083806531157608,0.084945457957724,0.1597541848561121,0.1672486024503192
27,27.0,0.0721078825586249,0.0989042582428242,0.1025412703471448,0.228707495976777,0.0835355958882619,0.0837763816484737,0.16194815191312,0.1684789634247732
28,28.0,0.0703136655254016,0.097561846003146,0.1004869836674012,0.2319509090870664,0.0834010782179681,0.0825712043074838,0.1637657786103573,0.1699485345811753
29,29.0,0.0686229747469795,0.095951549465748,0.0982016090193116,0.2353553334645235,0.0834221295634394,0.0812414575954077,0.1654338131743835,0.1717711329702064
30,30.0,0.0668788553939657,0.0940226721736261,0.0961480187304886,0.2386449789635323,0.0835730982043639,0.0798122610150423,0.1670805193045471,0.1738395962144335
31,31.0,0.0651196350854693,0.0924159938262407,0.0940601953485658,0.2415607243031006,0.0839467768661281,0.0783841270832598,0.1688246011883948,0.1756879462988405
32,32.0,0.0634768777187006,0.090825912218849,0.0920393118105575,0.2437941948743798,0.08471816676355,0.0770129176512316,0.1706726481439664,0.1774599708187647
33,33.0,0.0619811469059621,0.0892372903650613,0.0900795644215359,0.2457889490326265,0.0857047976675645,0.0755470972260582,0.1723957045873922,0.1792654497937988
34,34.0,0.0603591441691788,0.0875799270595138,0.0879551071998221,0.2482897370648946,0.0866782199702986,0.0743961876418167,0.1738947912774884,0.1808468856169863
