,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:41:19.884843,0.8451813995620054
1,Run_10,0 days 00:39:31.903737,0.8475082270665076
2,Run_2,0 days 00:42:46.994716,0.8462630239126196
3,Run_3,0 days 00:48:05.565917,0.8471584048963947
4,Run_4,0 days 00:46:47.498321,0.8467659391303688
5,Run_5,0 days 00:38:42.185174,0.8453538903691631
6,Run_6,0 days 00:44:23.550549,0.8483248316217611
7,Run_7,0 days 00:50:57.162788,0.8448169592687457
8,Run_8,0 days 00:49:14.650665,0.8510710817368485
9,Run_9,0 days 00:40:14.599110,0.8461475765299233
10,Average,0 days 00:44:12.399582,0.846859133409434
