,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.7514481608609099,914,59,45701
1,Run_2,0.7449129129644632,566,95,28301
2,Run_3,0.7580438247661981,1169,15,58451
3,Run_4,0.7628481129861171,1431,141,71551
4,Run_5,0.7748004507756527,3112,107,155601
5,Run_6,0.7619127619714952,963,63,48151
6,Run_7,0.7658069332964034,905,112,45251
7,Run_8,0.7727421456670093,2403,17,120151
8,Run_9,0.764368749272484,1099,112,54951
9,Run_10,0.7686474251774755,1705,74,85238
10,Run_11,0.769287395050789,1179,0,58951
11,Run_12,0.76875592170178,1299,81,64951
12,Run_13,0.7588734726585495,733,121,36651
13,Run_14,0.7546309011080293,760,34,37973
14,Run_15,0.7575263548564389,775,0,38751
15,Run_16,0.775304308352804,1416,37,70801
16,Run_17,0.7598510691608666,1221,0,61051
17,Run_18,0.7617293330574242,1025,30,51251
18,Run_19,0.7513573288983182,712,0,35601
19,Run_20,0.743198827136246,444,0,22201
20,Run_21,0.7485774381060495,730,42,36501
21,Run_22,0.7355684355096341,451,62,22551
22,Run_23,0.7334201916591842,583,9,29151
23,Run_24,0.7274522930761298,490,0,24501
24,Run_25,0.7199328548116412,357,5,17851
25,Run_26,0.7095878459157434,338,68,16889
26,Run_27,0.7456140409879164,544,2,27201
27,Run_28,0.7797214730454185,1677,29,83851
28,Run_29,0.7694928910819907,1141,17,57051
29,Run_30,0.7652673455723782,609,44,30451
