,Run_nr,HV
0,Run_1,0.8189282479464366
1,Run_2,0.816170580516206
2,Run_3,0.8104315977633475
3,Run_4,0.8112356351493538
4,Run_5,0.8168231620640621
5,Run_6,0.8182047054243344
6,Run_7,0.8184566148522608
7,Run_8,0.8113804533087347
8,Run_9,0.8057973963566689
9,Run_10,0.820758683688041
10,Run_11,0.8041143373902016
11,Run_12,0.8129356703282893
12,Run_13,0.8152580354850765
13,Run_14,0.8028526758389387
14,Run_15,0.8005391008471903
15,Run_16,0.8152086069884568
16,Run_17,0.8086173005921492
17,Run_18,0.8155325536337643
18,Run_19,0.8076680186108027
19,Run_20,0.8151561604421027
20,Means,0.8123034768613209
