,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:10:42.698440,0.8189282479464366
1,Run_10,0 days 00:10:33.021154,0.820758683688041
2,Run_11,0 days 00:10:14.490393,0.8041143373902016
3,Run_12,0 days 00:10:09.708005,0.8129356703282893
4,Run_13,0 days 00:11:04.224230,0.8152580354850765
5,Run_14,0 days 00:10:20.889544,0.8028526758389387
6,Run_15,0 days 00:10:15.658421,0.8005391008471903
7,Run_16,0 days 00:10:27.945454,0.8152086069884568
8,Run_17,0 days 00:10:17.525269,0.8086173005921492
9,Run_18,0 days 00:10:25.079947,0.8155325536337643
10,Run_19,0 days 00:10:14.572828,0.8076680186108027
11,Run_2,0 days 00:10:31.691649,0.816170580516206
12,Run_20,0 days 00:10:36.520427,0.8151561604421027
13,Run_3,0 days 00:11:50.533173,0.8104315977633475
14,Run_4,0 days 00:11:35.518643,0.8112356351493538
15,Run_5,0 days 00:11:55.838181,0.8168231620640621
16,Run_6,0 days 00:11:32.334440,0.8182047054243344
17,Run_7,0 days 00:10:10.547578,0.8184566148522608
18,Run_8,0 days 00:10:43.649903,0.8113804533087347
19,Run_9,0 days 00:10:14.355999,0.8057973963566689
20,Average,0 days 00:10:41.840183900,0.8123034768613209
