,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.6482802844341193,2368,0,118401
1,Run_2,0.628749619674575,2608,0,130401
2,Run_3,0.6244309164864249,2331,0,116355
3,Run_4,0.5506365943760516,602,600,7667
4,Run_5,0.6301504753226497,2813,0,140651
5,Run_6,0.6349276893594824,2558,0,127901
6,Run_7,0.64697259686808,3530,0,176501
7,Run_8,0.635621881484131,2656,0,132801
8,Run_9,0.629063999110143,2668,0,133401
9,Run_10,0.6431140118515217,2081,0,104051
10,Run_11,0.6355168623925567,1796,3,89801
11,Run_12,0.6246373915873997,1850,8,92501
12,Run_13,0.6346133390504973,2842,0,142057
13,Run_14,0.6354902775751372,2529,3,126451
14,Run_15,0.6336097695618723,2334,0,116701
15,Run_16,0.6377159113630938,2314,0,115701
16,Run_17,0.6367756708196481,1880,0,93846
17,Run_18,0.6320594570506766,3229,0,161451
18,Run_19,0.63742422326464,2336,0,116789
19,Run_20,0.6420898389198526,2653,0,132651
20,Run_21,0.6294081538590288,2557,0,127851
21,Run_22,0.6348802764331798,3386,0,169301
22,Run_23,0.6355892014751477,3368,0,168401
23,Run_24,0.6381209864214328,2211,1,110551
24,Run_25,0.631960046188419,2890,1,144501
25,Run_26,0.6338603302087871,2699,0,134951
26,Run_27,0.6264065246450834,1568,0,78401
27,Run_28,0.6261902280881644,2056,11,102801
28,Run_29,0.6329166070305113,2810,0,140501
29,Run_30,0.6244294282192985,2717,0,135851
