,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.7586652473809694,988,29,49401
1,Run_2,0.7450609368611925,830,168,41501
2,Run_3,0.7485866834015923,881,0,44051
3,Run_4,0.7459897354987621,832,128,41601
4,Run_5,0.7580058959220086,1707,0,85351
5,Run_6,0.7419400471191016,1039,13,51951
6,Run_7,0.7558916541645817,2304,2,115201
7,Run_8,0.7559891018503462,1690,6,84501
8,Run_9,0.749245268332011,1209,52,60451
9,Run_10,0.748552435108708,1119,109,55951
10,Run_11,0.7391033985058886,567,159,28351
11,Run_12,0.7524619093790759,1499,115,74951
12,Run_13,0.7452963540178164,1205,69,60251
13,Run_14,0.7514342815841041,817,157,40851
14,Run_15,0.7638813398293756,1499,149,74951
15,Run_16,0.7541839213654,919,42,45834
16,Run_17,0.7502677734900995,1132,8,56601
17,Run_18,0.7485934799546665,1008,106,50401
18,Run_19,0.7430173238025883,880,87,44001
19,Run_20,0.7465396369022701,1081,22,54051
20,Run_21,0.7699660632313987,1873,0,93651
21,Run_22,0.7619749797018814,2251,124,112551
22,Run_23,0.7442868539398234,917,1,45851
23,Run_24,0.7872559597577716,3884,0,194201
24,Run_25,0.749903121847473,1330,21,66501
25,Run_26,0.7519783874246817,704,3,35201
26,Run_27,0.7579668870568111,1858,62,92901
27,Run_28,0.7387716686317027,1012,116,50601
28,Run_29,0.7601818017890086,2232,152,111601
29,Run_30,0.7501074327192968,897,138,44851
